After about 4 hours of computation....

door 1 is max 10 (10.00)
door 2 is max 30 (15.00)
door 3 is max 40 (13.33)
door 4 is max 70 (17.50)
door 6 is max 120 (20.00)
door 8 is max 150 (18.75)
door 10 is max 180 (18.00)
door 12 is max 280 (23.33)
door 16 is max 310 (19.37)
door 18 is max 390 (21.67)
door 20 is max 420 (21.00)
door 24 is max 600 (25.00)
door 30 is max 720 (24.00)
door 36 is max 910 (25.28)
door 42 is max 960 (22.86)
door 48 is max 1240 (25.83)
door 60 is max 1680 (28.00)
door 72 is max 1950 (27.08)
door 84 is max 2240 (26.67)
door 90 is max 2340 (26.00)
door 96 is max 2520 (26.25)
door 108 is max 2800 (25.93)
door 120 is max 3600 (30.00)
door 144 is max 4030 (27.99)
door 168 is max 4800 (28.57)
door 180 is max 5460 (30.33)
door 210 is max 5760 (27.43)
door 216 is max 6000 (27.78)
door 240 is max 7440 (31.00)
door 288 is max 8190 (28.44)
door 300 is max 8680 (28.93)
door 336 is max 9920 (29.52)
door 360 is max 11700 (32.50)
door 420 is max 13440 (32.00)
door 480 is max 15120 (31.50)
door 504 is max 15600 (30.95)
door 540 is max 16800 (31.11)
door 600 is max 18600 (31.00)
door 630 is max 18720 (29.71)
door 660 is max 20160 (30.55)
door 720 is max 24180 (33.58)
door 840 is max 28800 (34.29)
door 960 is max 30480 (31.75)
door 1008 is max 32240 (31.98)
door 1080 is max 36000 (33.33)
door 1200 is max 38440 (32.03)
door 1260 is max 43680 (34.67)
door 1440 is max 49140 (34.12)
door 1560 is max 50400 (32.31)
door 1620 is max 50820 (31.37)
door 1680 is max 59520 (35.43)
door 1800 is max 60450 (33.58)
door 1920 is max 61200 (31.87)
door 1980 is max 65520 (33.09)
door 2100 is max 69440 (33.07)
door 2160 is max 74400 (34.44)
door 2340 is max 76440 (32.67)
door 2400 is max 78120 (32.55)
door 2520 is max 93600 (37.14)
door 2880 is max 99060 (34.40)
door 3024 is max 99200 (32.80)
door 3120 is max 104160 (33.38)
door 3240 is max 108900 (33.61)
door 3360 is max 120960 (36.00)
door 3600 is max 124930 (34.70)
door 3780 is max 134400 (35.56)
door 3960 is max 140400 (35.45)
door 4200 is max 148800 (35.43)
door 4320 is max 151200 (35.00)
door 4620 is max 161280 (34.91)
door 4680 is max 163800 (35.00)
door 5040 is max 193440 (38.38)
door 5760 is max 198900 (34.53)
door 5880 is max 205200 (34.90)
door 6120 is max 210600 (34.41)
door 6240 is max 211680 (33.92)
door 6300 is max 225680 (35.82)
door 6720 is max 243840 (36.29)
door 7200 is max 253890 (35.26)
door 7560 is max 288000 (38.10)
door 7920 is max 290160 (36.64)
door 8400 is max 307520 (36.61)
door 8820 is max 311220 (35.29)
door 9240 is max 345600 (37.40)
door 10080 is max 393120 (39.00)
door 10920 is max 403200 (36.92)
door 11340 is max 406560 (35.85)
door 11760 is max 424080 (36.06)
door 11880 is max 432000 (36.36)
door 12240 is max 435240 (35.56)
door 12600 is max 483600 (38.38)
door 13440 is max 489600 (36.43)
door 13860 is max 524160 (37.82)
door 15120 is max 595200 (39.37)
door 16380 is max 611520 (37.33)
door 16800 is max 624960 (37.20)
door 17640 is max 666900 (37.81)
door 18480 is max 714240 (38.65)
door 19800 is max 725400 (36.64)
door 20160 is max 792480 (39.31)
door 21840 is max 833280 (38.15)
door 22680 is max 871200 (38.41)
door 23760 is max 892800 (37.58)
door 25200 is max 999440 (39.66)
door 27720 is max 1123200 (40.52)
door 30240 is max 1209600 (40.00)
door 32760 is max 1310400 (40.00)
door 35280 is max 1378260 (39.07)
door 36960 is max 1451520 (39.27)
door 37800 is max 1488000 (39.37)
door 39600 is max 1499160 (37.86)
door 40320 is max 1591200 (39.46)
door 41580 is max 1612800 (38.79)
door 42840 is max 1684800 (39.33)
door 43680 is max 1693440 (38.77)
door 45360 is max 1800480 (39.69)
door 47520 is max 1814400 (38.18)
door 47880 is max 1872000 (39.10)
door 49140 is max 1881600 (38.29)
door 50400 is max 2031120 (40.30)
door 52920 is max 2052000 (38.78)
door 54600 is max 2083200 (38.15)
door 55440 is max 2321280 (41.87)
door 60480 is max 2438400 (40.32)
door 64680 is max 2462400 (38.07)
door 65520 is max 2708160 (41.33)
door 70560 is max 2800980 (39.70)
door 73080 is max 2808000 (38.42)
door 73920 is max 2926080 (39.58)
door 75600 is max 3075200 (40.68)
door 80640 is max 3188640 (39.54)
door 83160 is max 3456000 (41.56)
door 85680 is max 3481920 (40.64)
door 90720 is max 3659040 (40.33)
door 92400 is max 3690240 (39.94)
door 95760 is max 3868800 (40.40)
door 98280 is max 4032000 (41.03)
door 100800 is max 4094480 (40.62)
door 105840 is max 4240800 (40.07)
door 109200 is max 4305280 (39.43)
